"","X","locationID","SampleID","MaizeFlourType","otherTypes","Source","MonthsSinceHarvested","Village","Ward","Latitude_dd","Longitude_dd","Elev_masl","Aflatoxin_ppb","Fumonisin_ppm"
"1",1,"10nov15_02","10nov15_02_001","sembe","none","purchased","4","Mkoka","Mkoka",-5.813583333,36.43652778,1209,7.9,0.03
"2",2,"10nov15_02","10nov15_02_002","sembe","wholekmaize","homegrown","3","Mkoka","Mkoka",-5.813583333,36.43652778,1209,10.5,0.04
"3",3,"10nov15_03","10nov15_03_001","dona","wholekmaize","purchased","4","Mvungurumo","Mkoka",-5.816222222,36.43488889,1190,48,0.17
"4",4,"10nov15_03","10nov15_03_002","dona","wholekmaize","purchased","4","Mvungurumo","Mkoka",-5.816222222,36.43488889,1190,67.2,0.59
"5",5,"10nov15_04","10nov15_04_001","dona","wholekmaize","homegrown","4","Mvungurumo","Mkoka",-5.848666667,36.38366667,1172,4,0.72
"6",6,"10nov15_05","10nov15_05_001","dona","wholekmaize","purchased","4","Mnuku","Mkoka",-5.806027778,36.38044444,1196,16.6,0.95
"7",7,"11nov15_01","11nov15_01_001","dona","wholekmaize","purchased","4","Ibwaga","Ugogoni",-6.225944444,36.47655556,1180,8.3,0.19
"8",8,"11nov15_01","11nov15_01_002","dona","wholekmaize","purchased","Unknown","Ibwaga","Ugogoni",-6.225944444,36.47655556,1180,7.9,0.02
"9",9,"11nov15_02","11nov15_02_001","dona","wholekmaize","homegrown","5","Ibwaga","Ugogoni",-6.232222222,36.47277778,1178,14.2,0.18
"10",10,"11nov15_03","11nov15_03_001","dona","wholekmaize","purchased","6","Mautya","Ugogoni",-6.161638889,36.48955556,1110,6.3,0.11
"11",11,"11nov15_04","11nov15_04_001","dona","wholekmaize","homegrown","5","Mautya","Ugogoni",-6.148722222,36.4755,1030,59.1,0.43
"12",12,"11nov15_04","11nov15_04_002","dona","wholekmaize","purchased","5","Mautya","Ugogoni",-6.148722222,36.4755,1030,16.4,0.06
"13",13,"12nov15_01","12nov01_01_001","sembe","none","purchased","4","Mtanana","Mtanana",-6.043416667,36.57327778,1227,39,0.05
"14",14,"12nov15_01","12nov15_01_002","dona","wholekmaize","purchased","4","Mtanana","Mtanana",-6.043416667,36.57327778,1227,133.2,0.13
"15",15,"12nov15_01","12nov15_01_003","dona","wholekmaize","homegrown","4","Mtanana","Mtanana",-6.043416667,36.57327778,1227,44.7,0.72
"16",16,"12nov15_02","12nov15_02_001","sembe","wholekmaize","homegrown","5","Ndalibo","Mtanana",-5.995944444,36.55066667,1211,3.6,0.01
"17",17,"12nov15_02","12nov15_02_002","sembe","wholekmaize","homegrown","4","Ndalibo","Mtanana",-5.995944444,36.55066667,1211,8.6,0.02
"18",18,"12nov15_03","12nov15_03_001","sembe","none","homegrown","4","Ndalibo","Mtanana",-5.992416667,36.55066667,1194,7.6,0.01
"19",19,"12nov15_04","12nov15_04_001","sembe","none","homegrown","4","Ndalibo","Mtanana",-5.992888889,36.55041667,1195,31.1,0.11
"20",20,"13nov15_01","13nov15_01_001","sembe","none","purchased","4","Matongoro","Matongoro",-5.804777778,36.46625,1250,48.7,0.04
"21",21,"13nov15_01","13nov15_01_002","sembe","none","purchased","4","Matongoro","Matongoro",-5.804777778,36.46625,1250,141.5,0.49
"22",22,"13nov15_02","13nov15_02_001","sembe","wholekmaize","homegrown","4","Matongoro","Matongoro",-5.806055556,36.46663889,1239,13.1,0.01
"23",23,"13nov15_02","13nov1t_02_002","sembe","none","homegrown","4","Matongoro","Matongoro",-5.806055556,36.46663889,1239,3.5,0.03
"24",24,"13nov15_02","13nov15_02_003","sembe","none","purchased","4","Matongoro","Matongoro",-5.806055556,36.46663889,1239,6.1,0.13
"25",25,"13nov15_03","13nov15_03_001","sembe","wholekmaize","homegrown","4","Mlanje","Matongoro",-5.78025,36.46233333,1237,5.8,0.42
"26",26,"13nov15_03","13nov15_03_002","sembe","wholekmaize","purchased","Unknown","Mlanje","Matongoro",-5.78025,36.46233333,1237,6.8,0.22
"27",27,"13nov15_03","13nov15_03_003","dona","wholekmaize","homegrown","4","Mlanje","Matongoro",-5.78025,36.46233333,1237,1.9,0.67
"28",28,"16nov15_01","16nov15_01_002","sembe","none","homegrown","5","Pandambili","Pandambili",-6.084194444,36.73338889,1295,6.2,0.02
"29",29,"16nov15_01","16nov15_01_003","sembe","none","purchased","4","Pandambili","Pandambili",-6.084194444,36.73338889,1295,11.4,0.04
"30",30,"16nov15_01","16nov15_01_004","sembe","none","purchased","4","Pandambili","Pandambili",-6.084194444,36.73338889,1295,5.4,0.13
"31",31,"16nov15_02","16nov15_02_001","sembe","none","homegrown","4","Pandambili","Pandambili",-6.084611111,36.73727778,1317,6.3,0.1
"32",32,"16nov15_02","16nov15_02_002","sembe","none","homegrown","5","Pandambili","Pandambili",-6.084611111,36.73727778,1317,4.1,0.07
"33",33,"16nov15_02","16nov15_02_003","sembe","none","homegrown","6","Pandambili","Pandambili",-6.084611111,36.73727778,1317,5.8,0.06
"34",34,"16nov15_03","16nov15_03_001","sembe","none","purchased","4","Silwa","Pandambili",-6.110583333,36.77080556,1339,10.6,0.36
"35",35,"16nov15_03","16nov15_03_002","sembe","none","purchased","4","Silwa","Pandambili",-6.110583333,36.77080556,1339,97.9,0.84
"36",36,"16nov15_04","16nov15_04_001","sembe","none","purchased","6","Silwa","Pandambili",-6.09225,36.79147222,1352,50.5,0.07
"37",37,"16nov15_04","16nov15_04_002","dona","none","purchased","5","Silwa","Pandambili",-6.09225,36.79147222,1352,8.6,0.32
"38",38,"16nov15_04","16nov15_04_003","sembe","none","homegrown","6","Silwa","Pandambili",-6.09225,36.79147222,1352,0.9,0.13
"39",39,"17nov15_01","17nov15_01_001","sembe","none","homegrown","5","Iduo","Iduo",-6.266722222,36.64530556,1195,5.3,0.04
"40",40,"17nov15_01","17nov15_01_002","sembe","none","homegrown","5","Iduo","Iduo",-6.266722222,36.64530556,1195,10.9,0.33
"41",41,"17nov15_02","17nov15_02_001","sembe","wholekmaize","purchased","5","Iduo","Iduo",-6.267527778,36.65205556,1188,3.2,0.09
"42",42,"17nov15_02","17nov15_02_002","dona","wholekmaize","homegrown","5","Iduo","Iduo",-6.267527778,36.65205556,1188,3.7,0.07
"43",43,"17nov15_02","17nov15_02_003","sembe","none","purchased","5","Iduo","Iduo",-6.267527778,36.65205556,1188,3.3,0.52
"44",44,"17nov15_02","17nov15_03_001","sembe","none","homegrown","5","Iduo","Iduo",-6.267527778,36.65205556,1188,4.7,0.05
"45",45,"17nov15_03","17nov15_03_002","sembe","none","purchased","5","Suguta","Iduo",-6.295305556,36.68294444,1120,23.8,0.69
"46",46,"17nov15_03","17nov15_03_003","sembe","wholekmaize","purchased","4","Suguta","Iduo",-6.295305556,36.68294444,1120,4.4,0.08
"47",47,"17nov15_03","17nov15_03_004","sembe","wholekmaize","homegrown","5","Suguta","Iduo",-6.295305556,36.68294444,1120,3.9,0.28
"48",48,"18nov15_01","18nov15_01_001","sembe","none","purchased","Unknown","Sejeli","Sejeli",-6.023,36.31969444,965,48.2,0.27
"49",49,"18nov15_01","18nov15_01_002","dona","none","purchased","5","Sejeli","Sejeli",-6.023,36.31969444,965,89.4,1.67
"51",51,"18nov15_02","18nov15_02_001","sembe","none","purchased","5","Sejeli","Sejeli",-6.031472222,36.32269444,1026,18.5,0.42
"52",52,"18nov15_02","18nov15_02_002","dona","none","purchased","5","Sejeli","Sejeli",-6.031472222,36.32269444,1026,94.1,0.24
"54",54,"18nov15_03","18nov15_03_001","dona","none","purchased","5","Msunjilile","Sejeli",-5.963194444,36.35347222,1059,27.9,0.4
"55",55,"18nov15_03","18nov15_03_002","dona","none","purchased","5","Msunjilile","Sejeli",-5.963194444,36.35347222,1059,87.3,0.17
"56",56,"18nov15_03","18nov15_03_003","dona","none","purchased","5","Msunjilile","Sejeli",-5.963194444,36.35347222,1059,105.1,1.12
"57",57,"18nov15_03","18nov15_03_004","dona","none","purchased","5","Msunjilile","Sejeli",-5.963194444,36.35347222,1059,65.4,0.59
"58",58,"19nov15_02","19nov15_02_001","dona","none","purchased","4","Chilanjilizi","Ngomai",-5.889083333,36.616,1269,94.1,0.63
"59",59,"19nov15_02","19nov15_02_002","dona","none","homegrown","6","Chilanjilizi","Ngomai",-5.889083333,36.616,1269,41.1,0.07
"60",60,"19nov15_03","19nov15_03_001","sembe","none","homegrown","5","Manyata","Ngomai",-6.024055556,36.64216667,1183,42.5,0.42
"61",61,"19nov15_03","19nov15_03_002","sembe","none","homegrown","5","Manyata","Ngomai",-6.024055556,36.64216667,1183,2.9,0.61
"62",62,"19nov15_01","19nov15_01_001","dona","none","purchased","Unknown","Chilanjilizi","Ngomai",-5.888555556,36.61544444,1280,7.6,0.76
"63",63,"19nov15_01","19nov15_01_002","sembe","none","homegrown","5","Chilanjilizi","Ngomai",-5.888555556,36.61544444,1280,111.6,0.02
"64",64,"19nov15_01","19nov15_01_003","dona","none","purchased","5","Chilanjilizi","Ngomai",-5.888555556,36.61544444,1280,69.1,0.04
"66",66,"20nov15_01","20nov15_01_001","dona","none","homegrown","4","Makawa","Makawa",-5.755222222,36.54230556,1285,7.7,0.11
"67",67,"20nov15_01","20nov15_01_002","dona","wholekmaize","homegrown","4","Makawa","Makawa",-5.755222222,36.54230556,1285,6.3,0.95
"68",68,"20nov15_02","20nov15_02_001","sembe","wholekmaize","homegrown","4","Makawa","Makawa",-5.753472222,36.53955556,1291,2.6,0.04
"69",69,"20nov15_02","20nov15_02_002","dona","none","purchased","4","Makawa","Makawa",-5.753472222,36.53955556,1291,2.7,0.42
"70",70,"20nov15_02","20nov15_02_003","sembe","none","homegrown","4","Makawa","Makawa",-5.753472222,36.53955556,1291,1.1,0.73
"71",71,"20nov15_03","20nov15_03_001","sembe","none","homegrown","4","Muungano","Makawa",-5.760805556,36.54888889,1308,72.8,0.67
"72",72,"20nov15_03","20nov15_03_002","sembe","none","homegrown","4","Muungano","Makawa",-5.760805556,36.54888889,1308,6.9,0.27
"73",73,"20nov15_04","20nov15_04_001","sembe","none","homegrown","5","Muungano","Makawa",-5.766638889,36.54872222,1308,39.6,0.3
"74",74,"20nov15_04","20nov15_04_002","sembe","none","homegrown","5","Muungano","Makawa",-5.766638889,36.54872222,1308,7.3,0.44
"75",75,"20nov15_04","20nov15_04_003","dona","none","homegrown","4","Muungano","Makawa",-5.766638889,36.54872222,1308,19.7,1.18
"76",76,"10nov15_03","HH01_FMN_01","","","homegrown","","Mkoka","Mkoka",-5.81526469,36.43457988,1210,7.7,0.01
"77",77,"10nov15_03","HH02_FMN_07","","","homegrown","","Mkoka","Mkoka",-5.81570416,36.43228986,1205,7.2,0
"78",78,"10nov15_01","HH03_FMN_11","","","homegrown","","Mkoka","Mkoka",-5.8153124,36.4376076,0,3.8,0
"79",79,"10nov15_04","HH04_FMN_13","","","homegrown","","Mvungurumo","Mkoka",-5.84096474,36.39530808,1182,76.9,0.01
"80",80,"10nov15_04","HH05_FMN_17","","","homegrown","","Mvungurumo","Mkoka",-5.84109676,36.3943001,1172,128.4,0.01
"81",81,"10nov15_04","HH06_FMN_20","","","homegrown","","Mvungurumo","Mkoka",-5.84962492,36.3837686,1155,41.3,0.01
"82",82,"10nov15_05","HH07_FMN_21","","","homegrown","","Mnuku","Mkoka",-5.80658727,36.3809986,1197,99.6,0.75
"83",83,"11nov15_01","HH08_FMN_20a","","","homegrown","","Ibwaga","Ugogoni",-6.1966944,36.4097165,0,3.8,0.03
"84",84,"11nov15_01","HH09_FMN_26","","","purchased","","Ibwaga","Ugogoni",-6.22564206,36.47618864,1131,26.5,0.04
"85",85,"11nov15_01","HH10_FMN_29","","","homegrown","","Ibwaga","Ugogoni",-6.21851645,36.46728651,1178,15.7,0.04
"87",87,"11nov15_03","HH12_FMN_36","","","homegrown","","Mautya","Ugogoni",-6.16152307,36.48848426,1075,41,0
"88",88,"11nov15_04","HH13_FMN_38","Sifted and soaked maize flour","","homegrown","","Mautya","Ugogoni",-6.14844069,36.47582494,1055,7.3,0.03
"89",89,"11nov15_04","HH14_FMN_41a","Sifted and soaked maize flour","","homegrown","","Mautya","Ugogoni",-6.14844069,36.47582494,1055,23.3,0.02
"90",90,"12nov15_01","HH15_FMN_42b","Sifted maize flour","","homegrown","6","Mtanana","Mtanana",-6.04530433,36.57343522,1239,42.2,0.03
"91",91,"12nov15_01","HH16_FMN_43","Sifted maize flour","","homegrown","5","Mtanana","Mtanana",-6.04530433,36.57343522,1239,15.8,0
"92",92,"12nov15_02","HH17_FMN_45","Sifted and soaked yellow maize flour","","homegrown","5","Ndalibo","Mtanana",-5.9955081,36.55061028,1236,8.2,0.01
"93",93,"12nov15_02","HH18_FMN_46b","Sifted maize flour","","homegrown","5","Ndalibo","Mtanana",-5.99526369,36.55080633,1240,17.8,0.57
"94",94,"12nov15_04","HH19_FMN_50","Whole maize flour","","homegrown","5","Ndalibo","Mtanana",-5.99332587,36.54996408,1226,71.3,0.01
"95",95,"12nov15_04","HH20_FMN_52a","Sifted and soaked maize flour","","homegrown","4","Ndalibo","Mtanana",-5.994085,36.54982694,1217,24.9,0
"96",96,"13nov15_01","HH21_FMN_52b","Sifted maize flour","","homegrown","5","Matongoro","Matongoro",-5.80262434,36.46723072,1198,6.9,0.13
"98",98,"13nov15_01","HH23_FMN_60","Whole maize flour","","homegrown","5","Matongoro","Matongoro",-5.80379187,36.46658859,1266,33.4,0.02
"99",99,"13nov15_01","HH24_FMN_62","Sifted maize flour","","homegrown","5","Matongoro","Matongoro",-5.80353419,36.46837318,1237,18.1,0.04
"100",100,"13nov15_03","HH25_FMN_64","Sifted and soaked maize flour","","homegrown","3","Mlanje","Matongoro",-5.77586038,36.46186949,1291,2.8,0.02
"101",101,"13nov15_03","HH26_FMN_69","Whole maize flour","","homegrown","5","Mlanje","Matongoro",-5.7751454,36.46222818,1240,2.5,0.62
"102",102,"13nov15_03","HH27_FMN_76","Whole maize flour","","homegrown","5","Mlanje","Matongoro",-5.7751454,36.46222818,1240,22.2,0.02
"103",103,"16nov15_01","HH28_FMN_78","Sifted maize flour","","homegrown","4","Pandambili","Pandambili",-6.08431211,36.7324019,1292,6.6,0.05
"104",104,"16nov15_01","HH29_FMN_80","Sifted maize flour","","homegrown","4","Pandambili","Pandambili",-6.08454138,36.72664086,1310,2,0.04
"105",105,"16nov15_02","HH30_FMN_82","Sifted and soaked maize flour","","homegrown","4","Pandambili","Pandambili",-6.08410314,36.73717001,1325,0.3,0.05
"107",107,"16nov15_03","HH32_FMN_85","Sifted maize flour","","homegrown","4","Silwa","Pandambili",-6.11196316,36.77191326,1335,0.2,0.08
"108",108,"16nov15_04","HH33_FMN_89","Sifted maize flour","","homegrown","4","Silwa","Pandambili",-6.09169706,36.79118833,1363,1.6,0.01
"109",109,"16nov15_04","HH34_FMN_92","Sifted maize flour","","homegrown","5","Silwa","Pandambili",-6.09118359,36.78910269,1355,0.9,0.03
"110",110,"17nov15_01","HH35_FMN_96","Sifted maize flour","","homegrown","4","Iduo","Iduo",-6.26765298,36.64736555,1197,129.8,0.01
"111",111,"17nov15_01","HH36_FMN_101","Sifted maize flour","","homegrown","4","Iduo","Iduo",-6.26817946,36.64854366,1217,6.3,0.02
"112",112,"17nov15_02","HH37_FMN_104","Whole maize flour","","homegrown","4","Iduo","Iduo",-6.26637499,36.6495716,1190,1.9,0.02
"113",113,"17nov15_03","HH38_FMN_106","Sifted maize flour","","homegrown","4","Suguta","Iduo",-6.29481232,36.68392587,1122,8.7,1.76
"114",114,"17nov15_03","HH39_FMN_109","Sifted maize flour","","homegrown","4","Suguta","Iduo",-6.29440312,36.68263059,1113,0.5,0.67
"115",115,"17nov15_03","HH40_FMN_116","Sifted maize flour","","homegrown","4","Suguta","Iduo",-6.29625732,36.68313858,1108,2.2,0.02
"117",117,"18nov15_01","HH42_FMN_120","Whole maize flour","","purchased","Unknown","Sejeli","Sejeli",-6.02524897,36.32058366,987,2.4,0.06
"118",118,"18nov15_02","HH43_FMN_122","Whole maize flour","","purchased","5","Sejeli","Sejeli",-6.03206469,36.32265645,974,113.4,0.07
"119",119,"18nov15_02","HH44_FMN_123","Sifted maize flour","","","","Sejeli","Sejeli",-6.03206469,36.32265645,974,26.3,0.21
"120",120,"18nov15_03","HH45_FMN_127","Whole maize flour","","purchased","5","Msunjilile","Sejeli",-5.96326283,36.35385413,1059,15.2,0.17
"121",121,"18nov15_03","HH46_FMN_128","Whole maize flour","","purchased","5","Msunjilile","Sejeli",-5.96281479,36.35437528,1066,90.5,0.37
"122",122,"18nov15_03","HH47_FMN_129","Whole maize flour","","purchased","5","Msunjilile","Sejeli",-5.96445129,36.35329009,1054,13.6,0.79
"124",124,"19nov15_02","HH49_FMN_132","Whole maize flour","","homegrown","4","Chilanjilizi","Ngomai",-5.88888871,36.61539589,1274,13.7,0.44
"125",125,"19nov15_02","HH50_FMN_136","Sifted and soaked maize flour","","purchased","4","Chilanjilizi","Ngomai",-5.8885062,36.6147949,1307,1.7,0.04
"126",126,"19nov15_02","HH51_FMN_140","Whole maize flour","","purchased","5","Chilanjilizi","Ngomai",-5.888266,36.61361628,1265,6.3,0.64
"127",127,"19nov15_02","HH52_FMN_142","Sifted maize flour","","homegrown","4","Chilanjilizi","Ngomai",-5.88943593,36.6141072,1268,5.3,0.01
"128",128,"19nov15_03","HH53_FMN_146","Sifted maize flour","","purchased","Unknown","Manyata","Ngomai",-6.02355318,36.64137149,1205,7.2,0.01
"129",129,"19nov15_03","HH54_FMN_149","Sifted maize flour","","homegrown","6","Manyata","Ngomai",-6.02560092,36.64114806,1177,3.8,0
"130",130,"20nov15_01","HH55_FMN_151","Whole maize flour","","homegrown","4","Makawa","Makawa",-5.7553799,36.54243241,1301,8.3,0.1
"131",131,"20nov15_01","HH56_FMN_153","Whole maize flour","","purchased","4","Makawa","Makawa",-5.75578616,36.54194551,1305,10,0.11
"132",132,"20nov15_01","HH57_FMN_156","Sifted and soaked maize flour","","purchased","4","Makawa","Makawa",-5.75496578,36.54089909,1291,22.8,0.14
"133",133,"20nov15_02","HH58_FMN_160","Sifted and soaked maize flour","","purchased","4","Makawa","Makawa",-5.75326199,36.53960874,1294,7.4,0.03
"134",134,"20nov15_03","HH59_FMN_162b","Whole maize flour","","purchased","4","Muungano","Makawa",-5.76086043,36.54977352,1332,17.8,0.36
"135",135,"20nov15_03","HH60_FMN_164","Sifted and soaked maize flour","","purchased","5","Muungano","Makawa",-5.76165495,36.55031928,1317,2,0.23
"136",136,"20nov15_03","HH61_FMN_167","Sifted and soaked maize flour","","purchased","6","Muungano","Makawa",-5.76163748,36.54942761,1304,5.3,0.14
