"","ID","Latitude","Longitude","VendorCustID","VDSA","Gender","Lat_DD","Lon_DD"
"1","Ma01","16 51 00.8","78 31 57.1","01_ma01",NA,"male",16.8502222222222,78.5325277777778
"2","Ma01","16 51 00.8","78 31 57.1","01_ma01",NA,"male",16.8502222222222,78.5325277777778
"3","Ma01","16 51 00.8","78 31 57.1","02ma01",NA,"male",16.8502222222222,78.5325277777778
"4","Ma01","16 51 00.8","78 31 57.1","03ma01",NA,"male",16.8502222222222,78.5325277777778
"5","Ma01","16 51 00.8","78 31 57.1","05ma01",NA,"male",16.8502222222222,78.5325277777778
"6","Ma01","16 51 00.8","78 31 57.1","06ma01",NA,"male",16.8502222222222,78.5325277777778
"7","Ma01","16 51 00.8","78 31 57.1","07ma01",NA,"male",16.8502222222222,78.5325277777778
"8","Ma01","16 51 00.8","78 31 57.1","08ma01",NA,"male",16.8502222222222,78.5325277777778
"9","Ma01","16 51 00.8","78 31 57.1","13ma01",NA,"male",16.8502222222222,78.5325277777778
"10","Ma01","16 51 00.8","78 31 57.1","14ma01",NA,"male",16.8502222222222,78.5325277777778
"11","Ma01","16 51 00.8","78 31 57.1","15ma01",NA,"male",16.8502222222222,78.5325277777778
"12","Ma01","16 51 00.8","78 31 57.1","16ma01",NA,"male",16.8502222222222,78.5325277777778
"13","Ma01","16 51 00.8","78 31 57.1","17ma01",NA,"male",16.8502222222222,78.5325277777778
"14","Ma01","16 51 00.8","78 31 57.1","18ma01",NA,"male",16.8502222222222,78.5325277777778
"15","Ho01","16 51 50.3","78 36 59.2","",210,"female",16.8639722222222,78.6164444444444
"16","Ho02","16 51 50.9","78 37 02.6","",305,"female",16.8641388888889,78.6173888888889
"17","Ho03","16 51 51.2","78 37 02.6","",35,"female",16.8642222222222,78.6173888888889
"18","Ho04","16 51 56.1","78 36 59.3","",217,"female",16.8655833333333,78.6164722222222
"19","Ho05","16 51 58.7","78 37 00.0","",229,"female",16.8663055555556,78.6166666666667
"20","Ho06","16 51 53.4","78 37 01.3","",53,"female",16.8648333333333,78.6170277777778
"21","Ho08","16 51 51.9","78 36 56.5","",38,"female",16.8644166666667,78.6156944444444
"22","Ho09","16 51 54.2","78 36 56.3","",212,"female",16.8650555555556,78.6156388888889
"23","Ho10","16 51 56.1","78 36 56.5","",302,"female",16.8655833333333,78.6156944444444
"24","Ho11","16 51 01.7","78 37 28.3","",225,"male",16.8504722222222,78.6245277777778
"25","Ho12","16 51 00.1","78 37 27.2","",224,"female",16.8500277777778,78.6242222222222
"26","Ho13","16 50 59.8","78 37 27.4","",226,"female",16.8499444444444,78.6242777777778
"27","Ho14","16 50 56.6","78 37 29.3","",36,"female",16.8490555555556,78.6248055555556
"28","Ho15","16 51 01.6","78 37 27.0","",329,"female",16.8504444444444,78.6241666666667
"29","Ho16","16 51 00.0","78 37 27.4","",227,"female",16.85,78.6242777777778
"30","Ho17","16 51 00.6","78 37 27.0","",328,"female",16.8501666666667,78.6241666666667
"31","Ho18","16 50 58.9","78 37 27.2","",44,"male",16.8496944444444,78.6242222222222
"32","Ho19","16 50 57.0","78 37 28.1","",316,"female",16.8491666666667,78.6244722222222
"33","Ho20","16 50 57.0","78 37 28.8","",43,"female",16.8491666666667,78.6246666666667
"34","Ho21","16 50 55.9","78 37 29.6","",308,"female",16.8488611111111,78.6248888888889
"35","Ho22","16 50 51.8","78 37 31.9","",48,"female",16.8477222222222,78.6255277777778
"36","Ho23","16 50 53.7","78 37 34.5","",58,"female",16.84825,78.62625
"37","Ho24","16 50 55.8","78 37 33.4","",307,"female",16.8488333333333,78.6259444444444
"38","Ho25","16 50 55.8","78 37 31.8","",44,"female",16.8488333333333,78.6255
"39","Ho26","16 50 56.6","78 37 32.3","",242,"female",16.8490555555556,78.6256388888889
"40","Ho27","16 50 56.6","78 37 32.1","",219,"female",16.8490555555556,78.6255833333333
"41","Mi01","16 51 48.3","78 35 56.0","",NA,"male",16.8634166666667,78.5988888888889
"42","Ho28","16 51 54.0","78 37 01.5","",241,"female",16.865,78.6170833333333
"43","Mi02","16 51 56.8","78 36 59.3","",NA,"female",16.8657777777778,78.6164722222222
"44","Ho29","16 51 49.1","78 37 03.9","",297,"female",16.8636388888889,78.61775
"45","Ho30","16 51 44.9","78 37 02.7","",304,"female",16.8624722222222,78.6174166666667
"46","Ho31","16 51 43.2","78 37 03.0","",203,"male",16.862,78.6175
"47","Ho32","16 51 43.1","78 37 03.9","",317,"female",16.8619722222222,78.61775
"48","Ho33","16 51 42.3","78 37 03.8","",228,"female",16.86175,78.6177222222222
"49","Ho34","16 51 45.3","78 37 05.3","",1006,"female",16.8625833333333,78.6181388888889
"50","Ho35","16 51 54.8","78 36 56.5","",233,"female",16.8652222222222,78.6156944444444
"51","Ho36","16 51 54.6","78 36 54.3","",300,"male",16.8651666666667,78.6150833333333
"52","Ho37","16 51 43.9","78 37 03.3","",301,"female",16.8621944444444,78.6175833333333
"53","Ho38","16 51 43.6","78 37 03.3","",8,"female",16.8621111111111,78.6175833333333
"54","Ho39","16 51 43.2","78 37 03.1","",202,"female",16.862,78.6175277777778
"55","Ho40","16 51 43.4","78 37 04.0","",302,"female",16.8620555555556,78.6177777777778
"56","Ho41","16 51 44.1","78 37 05.1","",34,"female",16.86225,78.6180833333333
"57","Ho42","16 51 48.7","78 37 03.7","",234,"female",16.8635277777778,78.6176944444444
"58","Ho43","16 51 52.3","78 37 04.4","",55,"female",16.8645277777778,78.6178888888889
"59","Ho44","16 51 54.0","78 37 03.9","",239,"female",16.865,78.61775
"60","Ho45","16 50 56.1","78 37 31.1","",216,"female",16.8489166666667,78.6253055555555
"61","Ho46","16 50 55.0","78 37 33.5","",39,"female",16.8486111111111,78.6259722222222
"62","Ho47","16 50 59.2","78 37 30.4","",232,"female",16.8497777777778,78.6251111111111
"63","Ho48","16 50 59.8","78 37 30.4","",309,"female",16.8499444444444,78.6251111111111
"64","Ho49","16 50 59.6","78 37 29.9","",208,"female",16.8498888888889,78.6249722222222
"65","Ho50","16 51 01.7","78 37 29.9","",238,"female",16.8504722222222,78.6249722222222
"66","Ho51","16 51 05.0","78 37 30.2","",237,"female",16.8513888888889,78.6250555555555
"67","Ho52","16 51 03.7","78 37 29.5","",81,"male",16.8510277777778,78.6248611111111
"68","Sto02","16 50 48.0","78 31 45.1","",NA,"male",16.8466666666667,78.5291944444444
"69","Mi03","16 50 46.3","78 32 52.2","",NA,"male",16.8461944444444,78.5478333333333
"70","Ma02","16 51 51.6","78 36 59.5","01ma02",NA,"male",16.8643333333333,78.6165277777778
"71","Misc01","16 51 10.1","78 37 25.0","",NA,"female",16.8528055555556,78.6236111111111
"72","Ho53","16 51 02.8","78 37 26.1","",46,"female",16.8507777777778,78.6239166666667
"73","Ma03","16 51 04.9","78 37 27.2","01ma03",NA,"female",16.8513611111111,78.6242222222222
"74","Ho54","16 51 05.8","78 37 28.7","",240,"male",16.8516111111111,78.6246388888889
"75","Ho55","16 51 05.6","78 37 29.7","",231,"male",16.8515555555556,78.6249166666667
"76","Ho56","16 51 08.6","78 37 28.4","",312,"female",16.8523888888889,78.6245555555555
"77","Mi04","16 50 58.2","78 37 27.4","",NA,"male",16.8495,78.6242777777778
"78","Ho57","16 51 05.4","78 37 28.8","",209,"female",16.8515,78.6246666666667
"79","Ho58","16 51 08.4","78 37 29.5","",312,"female",16.8523333333333,78.6248611111111
"80","Ho59","16 51 09.2","78 37 24.8","",315,"female",16.8525555555556,78.6235555555556
"81","Ho60","16 51 47.7","78 37 03.8","",220,"female",16.86325,78.6177222222222
"82","Fa03","16 51 16.0","78 37 21.2","",NA,"",16.8544444444444,78.6225555555556
"83","Fa02","16 51 31.8","78 37 57.4","",NA,"",16.8588333333333,78.6326111111111
"84","Fa01","16 51 45.6","78 37 40.5","",NA,"",16.8626666666667,78.6279166666667
